run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
0,vikor,111,0,0.000,0,2,1,0.355376,0.241734,0.402890,4.5712,-90.4288,1.0000,0.0000,0.000000,-14.4667,-114.4667,10.0000,0.0000,0.000000,31.2674,-61.7326,10.0000,0.0000,0.000000
0,vikor,111,1,0.100,2,2,0,0.355631,0.241639,0.402731,4.5887,-90.4113,1.0000,0.0000,0.000000,-14.4232,-114.4232,10.0000,0.0000,0.000000,30.8392,-62.1608,10.0000,0.0000,0.000000
0,vikor,111,2,0.200,2,2,0,0.316676,0.227775,0.455550,4.6062,-90.3938,1.0000,0.0000,0.000000,-14.3795,-114.3795,10.0000,0.0000,0.000000,30.3622,-62.6378,0.0001,0.0000,0.000000
0,vikor,111,3,0.300,2,2,0,0.292480,0.204808,0.502711,4.6237,-90.3763,1.0000,0.0000,0.000000,-14.3357,-114.3357,10.0000,0.0000,0.000000,29.8481,-63.1519,0.0001,0.4915,0.000000
0,vikor,111,4,0.400,2,2,0,0.303009,0.201761,0.495230,4.6412,-90.3588,1.0000,0.0000,0.000000,-14.2918,-114.2918,10.0000,0.0000,0.000000,29.3076,-63.6924,0.8288,0.4915,0.000000
0,vikor,111,5,0.500,2,2,0,0.374130,0.200276,0.425594,4.6587,-90.3413,1.0004,2.0736,0.000000,-14.2478,-114.2478,10.0000,0.0000,0.000000,28.7498,-64.2502,0.8288,0.4915,0.000000
0,vikor,111,6,0.600,2,2,0,0.374582,0.200184,0.425234,4.6763,-90.3237,1.0004,2.1168,0.000000,-14.2036,-114.2036,10.0000,0.0000,0.000000,28.1822,-64.8178,0.8316,0.4915,0.000000
0,vikor,111,7,0.700,2,0,1,0.970564,0.009610,0.019827,4.6939,-90.3061,1.0004,2.0736,0.020408,-14.1593,-114.1593,8.4844,0.4752,0.083333,27.6109,-65.3891,2.0169,0.5325,0.027397
0,vikor,111,8,0.800,0,2,1,0.389553,0.205818,0.404629,4.7115,-90.2885,1.0004,2.1168,0.000000,-14.1148,-114.1148,8.5567,0.5184,0.000000,27.0405,-65.9595,2.0771,0.4915,0.000000
0,vikor,111,9,0.900,2,2,0,0.390143,0.205789,0.404068,4.7292,-90.2708,1.0004,2.1168,0.000000,-14.0703,-114.0703,8.4193,0.5184,0.000000,26.4747,-66.5253,2.0852,0.4915,0.000000
0,vikor,111,10,1.000,2,0,1,nan,nan,nan,4.7469,-90.2532,1.0004,2.1168,1.000000,-14.0256,-114.0256,8.5320,0.5184,0.000000,25.9161,-67.0839,2.1046,0.4915,1.000000
0,vikor,111,11,1.100,0,2,1,0.391297,0.206380,0.402323,4.7646,-90.2355,1.0004,2.1168,0.000000,-13.9808,-113.9808,8.4782,0.5616,0.000000,25.3669,-67.6331,2.1820,0.4915,0.000000
0,vikor,111,12,1.200,2,2,0,0.391470,0.205004,0.403526,4.7823,-90.2177,1.0004,2.1168,0.000000,-13.9358,-113.9358,8.4820,0.5184,0.000000,24.8282,-68.1718,2.0964,0.5325,0.000000
0,vikor,111,13,1.300,2,0,1,nan,nan,nan,4.8000,-90.2000,1.0004,2.0736,0.020408,-13.8908,-113.8908,8.5113,0.5184,0.000000,24.3011,-68.6989,2.0901,0.4915,0.013514
0,vikor,111,14,1.400,0,2,1,0.392261,0.205093,0.402646,4.8178,-90.1822,1.0004,2.1168,0.000000,-13.8455,-113.8455,8.5407,0.5184,0.000000,23.7861,-69.2139,2.1061,0.4915,0.000000
0,vikor,111,15,1.500,2,2,0,0.392694,0.204941,0.402366,4.8356,-90.1644,1.0004,2.1168,0.000000,-13.8002,-113.8002,8.4867,0.5184,0.000000,23.2836,-69.7164,2.0972,0.4915,0.000000
